ant-table-cell,ant-table-cell 2,ant-table-cell 3,ant-table-cell 4,ant-table-cell 5
2023-12-09 19:44:06,Report,Current,202mA,device itself
2023-12-09 19:44:06,Report,Power,29.10W,device itself
2023-12-09 19:44:06,Report,Voltage,227.90V,device itself
2023-12-09 19:43:00,Report,Current,177mA,device itself
2023-12-09 19:43:00,Report,Power,21.10W,device itself
2023-12-09 19:42:55,Report,Current,258mA,device itself
2023-12-09 19:42:55,Report,Power,31.60W,device itself
2023-12-09 19:42:55,Report,Voltage,227.50V,device itself
2023-12-09 19:39:50,Report,Current,219mA,device itself
2023-12-09 19:39:50,Report,Power,25.70W,device itself
2023-12-09 19:39:45,Report,Current,254mA,device itself
2023-12-09 19:39:45,Report,Power,32.30W,device itself
2023-12-09 19:39:40,Report,Current,176mA,device itself
2023-12-09 19:39:40,Report,Power,21.20W,device itself
2023-12-09 19:39:40,Report,Voltage,225.80V,device itself
2023-12-09 19:39:05,Report,Current,254mA,device itself
2023-12-09 19:39:05,Report,Power,29.10W,device itself
2023-12-09 19:39:05,Report,Voltage,226.60V,device itself
2023-12-09 19:38:00,Report,Current,260mA,device itself
2023-12-09 19:38:00,Report,Power,29.80W,device itself
2023-12-09 19:37:54,Report,Current,178mA,device itself
2023-12-09 19:37:54,Report,Power,19.80W,device itself
2023-12-09 19:37:54,Report,Voltage,224.90V,device itself
2023-12-09 19:36:49,Report,Current,242mA,device itself
2023-12-09 19:36:49,Report,Power,32.80W,device itself
2023-12-09 19:36:44,Report,Current,206mA,device itself
2023-12-09 19:36:44,Report,Power,23.80W,device itself
2023-12-09 19:36:44,Report,Voltage,225.80V,device itself
2023-12-09 19:36:09,Report,Current,227mA,device itself
2023-12-09 19:36:09,Report,Power,34.40W,device itself
2023-12-09 19:36:04,Report,Current,181mA,device itself
2023-12-09 19:36:04,Report,Power,25.30W,device itself
2023-12-09 19:36:04,Report,Voltage,224.90V,device itself
2023-12-09 19:34:59,Report,Current,245mA,device itself
2023-12-09 19:34:59,Report,Power,32.60W,device itself
2023-12-09 19:34:59,Report,Voltage,223.70V,device itself
2023-12-09 19:26:52,Report,Current,213mA,device itself
2023-12-09 19:26:52,Report,Power,22.10W,device itself
2023-12-09 19:26:52,Report,Voltage,225.80V,device itself
2023-12-09 19:26:47,Report,Current,237mA,device itself
2023-12-09 19:26:47,Report,Power,30.90W,device itself
2023-12-09 19:26:47,Report,Voltage,224.50V,device itself
2023-12-09 19:19:13,Report,Add Electricity,0.01,device itself
2023-12-09 19:17:41,Report,Current,266mA,device itself
2023-12-09 19:17:41,Report,Power,29.80W,device itself
2023-12-09 19:17:41,Report,Voltage,227.90V,device itself
2023-12-09 19:15:05,Report,Current,249mA,device itself
2023-12-09 19:15:05,Report,Power,25.30W,device itself
2023-12-09 19:15:05,Report,Voltage,228.30V,device itself
2023-12-09 19:14:00,Report,Current,184mA,device itself
2023-12-09 19:14:00,Report,Power,24.10W,device itself
2023-12-09 19:13:55,Report,Current,254mA,device itself
2023-12-09 19:13:55,Report,Power,30.90W,device itself
2023-12-09 19:08:49,Report,Current,171mA,device itself
2023-12-09 19:08:49,Report,Power,25.00W,device itself
2023-12-09 19:08:49,Report,Voltage,229.70V,device itself
2023-12-09 19:08:14,Report,Current,275mA,device itself
2023-12-09 19:08:14,Report,Power,31.70W,device itself
2023-12-09 19:08:14,Report,Voltage,228.30V,device itself
2023-12-09 19:05:38,Report,Current,207mA,device itself
2023-12-09 19:05:38,Report,Power,20.30W,device itself
2023-12-09 19:05:38,Report,Voltage,227.90V,device itself
2023-12-09 19:05:03,Report,Current,225mA,device itself
2023-12-09 19:05:03,Report,Power,29.20W,device itself
2023-12-09 19:05:03,Report,Voltage,228.80V,device itself
2023-12-09 19:04:58,Report,Current,172mA,device itself
2023-12-09 19:04:58,Report,Power,19.00W,device itself
2023-12-09 19:04:58,Report,Voltage,231.00V,device itself
2023-12-09 19:04:23,Report,Current,198mA,device itself
2023-12-09 19:04:23,Report,Power,27.70W,device itself
2023-12-09 19:04:23,Report,Voltage,230.10V,device itself
2023-12-09 19:03:48,Device semaphore,Device semaphore,signal intensity:-69||Remaining memory:40320||UTC:1702127028||DST:1702127028,device itself
2023-12-09 19:02:17,Report,Current,187mA,device itself
2023-12-09 19:02:17,Report,Power,20.70W,device itself
2023-12-09 19:02:17,Report,Voltage,229.70V,device itself
2023-12-09 18:59:42,Report,Current,227mA,device itself
2023-12-09 18:59:42,Report,Power,27.70W,device itself
2023-12-09 18:59:42,Report,Voltage,229.20V,device itself
2023-12-09 18:59:37,Report,Current,221mA,device itself
2023-12-09 18:59:37,Report,Power,35.10W,device itself
2023-12-09 18:59:37,Report,Voltage,227.90V,device itself
2023-12-09 18:59:02,Report,Current,275mA,device itself
2023-12-09 18:59:02,Report,Power,30.00W,device itself
2023-12-09 18:59:02,Report,Voltage,228.80V,device itself
2023-12-09 18:56:26,Report,Current,204mA,device itself
2023-12-09 18:56:26,Report,Power,33.00W,device itself
2023-12-09 18:56:26,Report,Voltage,227.90V,device itself
2023-12-09 18:52:20,Report,Current,210mA,device itself
2023-12-09 18:52:20,Report,Power,26.80W,device itself
2023-12-09 18:51:45,Report,Current,206mA,device itself
2023-12-09 18:51:45,Report,Power,20.40W,device itself
2023-12-09 18:51:40,Report,Current,216mA,device itself
2023-12-09 18:51:40,Report,Power,27.70W,device itself
2023-12-09 18:51:40,Report,Voltage,230.50V,device itself
2023-12-09 18:49:35,Report,Current,194mA,device itself
2023-12-09 18:49:35,Report,Power,24.30W,device itself
2023-12-09 18:49:35,Report,Voltage,230.10V,device itself
2023-12-09 18:49:06,Report,Add Electricity,0.01,device itself
2023-12-09 18:43:28,Report,Current,259mA,device itself
2023-12-09 18:43:28,Report,Power,33.60W,device itself
2023-12-09 18:43:28,Report,Voltage,227.90V,device itself
2023-12-09 18:42:53,Report,Current,267mA,device itself
2023-12-09 18:42:53,Report,Power,29.90W,device itself
2023-12-09 18:42:53,Report,Voltage,226.60V,device itself
2023-12-09 18:41:18,Report,Current,303mA,device itself
2023-12-09 18:41:18,Report,Power,26.30W,device itself
2023-12-09 18:41:13,Report,Current,248mA,device itself
2023-12-09 18:41:13,Report,Power,39.10W,device itself
2023-12-09 18:41:13,Report,Voltage,226.20V,device itself
2023-12-09 18:36:07,Report,Current,182mA,device itself
2023-12-09 18:36:07,Report,Power,26.10W,device itself
2023-12-09 18:36:07,Report,Voltage,224.90V,device itself
2023-12-09 18:35:32,Report,Current,201mA,device itself
2023-12-09 18:35:32,Report,Power,23.50W,device itself
2023-12-09 18:35:27,Report,Current,243mA,device itself
2023-12-09 18:35:27,Report,Power,30.30W,device itself
2023-12-09 18:35:27,Report,Voltage,227.50V,device itself
2023-12-09 18:32:51,Report,Current,192mA,device itself
2023-12-09 18:32:51,Report,Power,20.40W,device itself
2023-12-09 18:32:51,Report,Voltage,226.20V,device itself
2023-12-09 18:31:16,Report,Current,233mA,device itself
2023-12-09 18:31:16,Report,Power,27.90W,device itself
2023-12-09 18:31:11,Report,Current,192mA,device itself
2023-12-09 18:31:11,Report,Power,21.30W,device itself
2023-12-09 18:31:11,Report,Voltage,227.00V,device itself
2023-12-09 18:31:06,Report,Current,235mA,device itself
2023-12-09 18:31:06,Report,Power,26.80W,device itself
2023-12-09 18:31:06,Report,Voltage,226.20V,device itself
2023-12-09 18:29:00,Report,Current,228mA,device itself
2023-12-09 18:29:00,Report,Power,24.70W,device itself
2023-12-09 18:29:00,Report,Voltage,225.80V,device itself
2023-12-09 18:28:55,Report,Current,167mA,device itself
2023-12-09 18:28:55,Report,Power,19.00W,device itself
2023-12-09 18:28:55,Report,Voltage,224.90V,device itself
2023-12-09 18:24:50,Report,Current,275mA,device itself
2023-12-09 18:24:50,Report,Power,33.40W,device itself
2023-12-09 18:24:50,Report,Voltage,225.30V,device itself
2023-12-09 18:24:14,Report,Current,235mA,device itself
2023-12-09 18:24:14,Report,Power,26.60W,device itself
2023-12-09 18:24:14,Report,Voltage,226.60V,device itself
2023-12-09 18:22:09,Report,Current,224mA,device itself
2023-12-09 18:22:09,Report,Power,23.70W,device itself
2023-12-09 18:22:09,Report,Voltage,225.30V,device itself
2023-12-09 18:21:34,Report,Current,254mA,device itself
2023-12-09 18:21:34,Report,Power,28.80W,device itself
2023-12-09 18:21:29,Report,Current,298mA,device itself
2023-12-09 18:21:29,Report,Power,36.70W,device itself
2023-12-09 18:21:29,Report,Voltage,226.20V,device itself
2023-12-09 18:19:00,Report,Add Electricity,0.01,device itself
2023-12-09 18:18:53,Report,Current,243mA,device itself
2023-12-09 18:18:53,Report,Power,27.50W,device itself
2023-12-09 18:18:48,Report,Current,346mA,device itself
2023-12-09 18:18:48,Report,Power,38.10W,device itself
2023-12-09 18:18:48,Report,Voltage,226.60V,device itself
2023-12-09 18:16:13,Report,Current,286mA,device itself
2023-12-09 18:16:13,Report,Power,29.10W,device itself
2023-12-09 18:15:08,Report,Current,237mA,device itself
2023-12-09 18:15:08,Report,Power,26.40W,device itself
2023-12-09 18:15:08,Report,Voltage,226.20V,device itself
2023-12-09 18:11:32,Report,Current,246mA,device itself
2023-12-09 18:11:32,Report,Power,25.90W,device itself
2023-12-09 18:11:32,Report,Voltage,225.80V,device itself
2023-12-09 18:10:57,Report,Current,168mA,device itself
2023-12-09 18:10:57,Report,Power,18.70W,device itself
2023-12-09 18:10:57,Report,Voltage,225.30V,device itself
2023-12-09 18:09:51,Report,Current,221mA,device itself
2023-12-09 18:09:51,Report,Power,22.00W,device itself
2023-12-09 18:09:46,Report,Current,196mA,device itself
2023-12-09 18:09:46,Report,Power,29.00W,device itself
2023-12-09 18:09:46,Report,Voltage,225.80V,device itself
2023-12-09 18:07:11,Report,Current,195mA,device itself
2023-12-09 18:07:11,Report,Power,21.20W,device itself
2023-12-09 18:07:11,Report,Voltage,224.90V,device itself
2023-12-09 18:06:06,Report,Current,199mA,device itself
2023-12-09 18:06:06,Report,Power,24.30W,device itself
2023-12-09 18:06:06,Report,Voltage,225.30V,device itself
2023-12-09 18:05:31,Report,Current,314mA,device itself
2023-12-09 18:05:31,Report,Power,35.80W,device itself
2023-12-09 18:05:31,Report,Voltage,225.80V,device itself
2023-12-09 18:03:55,Report,Current,268mA,device itself
2023-12-09 18:03:55,Report,Power,31.70W,device itself
2023-12-09 18:03:55,Report,Voltage,225.30V,device itself
2023-12-09 18:03:48,Device semaphore,Device semaphore,signal intensity:-73||Remaining memory:40320||UTC:1702123428||DST:1702123428,device itself
2023-12-09 18:03:20,Report,Current,213mA,device itself
2023-12-09 18:03:20,Report,Power,23.70W,device itself
2023-12-09 18:03:20,Report,Voltage,226.20V,device itself
2023-12-09 18:02:15,Report,Current,273mA,device itself
2023-12-09 18:02:15,Report,Power,33.50W,device itself
